category,number,prompt,correct
Microsoft 62 193,3,Introductory Info Overview -General Overview -You are a history teacher at a school that has students between the ages of 11 and 18.Description of Students -You class contains 30 students who are 12 and 13 years old.Learning and Teaching EnvironmentThe school has the following Information and Communication Technology (ICT) resources: Two networked computer labs that each contains 30 desktop computers. All of the computers are connected to the Internet through a Web filtering firewall. All of the computers are connected to a pool of printers and to a flatbed scanner. 16 laptop computers that have a wireless connection to a pool of printers and to the Internet. Five digital cameras two video cameras and one digital voice recorder. Video-editing software installed on all of the computers.A Learning Management System (LMS) used for the following tasks: The students use the LMS to submit their work access resources uploaded by the teachers communicate with their teachers and access discussion forums. The teachers use the LMS to upload resources for the students assign homework collect assignments and grade their students' work. The school administration uses the LMS to create schedules and to track student performance data.Planned Changes -You plan to help the school make better use of its existing ICT resources. The school administration also asks you to identify opportunities to use the ICT resources during your history lessons.Teacher Problem Statement -The school reports that neither the teachers nor the students use the ICT resources. Also when the ICT resources are used they are often used for tasks that do not enhance learning.You inform the school administration that you are interested in using new technologies during your lessons. The administration asks you to find opportunities within your subject area to develop the use of ICT resources.Student Problem Statement -The students report that they often find historical sources in a foreign language which hinders them from completing their assignments.Objectives -Learning Objectives -Develop the students' understanding of past societies and of how these societies shaped the world during the twentieth century.Professional Development ObjectivesYou identify the following professional development objectives: Develop new approaches to using digital technologies for the teaching of history. Develop new approaches to using source materials for the teaching of history.Organizational Goals -The school plans to increase the use of technology during teaching.Planned Activity -You plan to run a learning activity that will include the following tasks: The students split into small groups and each group identify a theme or a historical event. The students select and edit digital images that illustrate the theme or the event. The students create a poster to demonstrate their learning. The students display their posters to their peers. Question You have to recommend a solution to help the students solve their problem regarding the historical sources. The problem must be solved as quickly as possible.What should you recommend?This item is part of a case study. To view the case study information click on the Case Study button below. [] A. Modify the language settings on the students' desktop or laptop computers. B. Email the source text to a language teacher at the school. C. Use an Internet-based translation tool. D. Use a social networking site to connect with students in other countries and upload the text to the social networking site. ,C
Microsoft 62 193,4,Introductory Info Overview -General Overview -You are a history teacher at a school that has students between the ages of 11 and 18.Description of Students -You class contains 30 students who are 12 and 13 years old.Learning and Teaching EnvironmentThe school has the following Information and Communication Technology (ICT) resources: Two networked computer labs that each contains 30 desktop computers. All of the computers are connected to the Internet through a Web filtering firewall. All of the computers are connected to a pool of printers and to a flatbed scanner. 16 laptop computers that have a wireless connection to a pool of printers and to the Internet. Five digital cameras two video cameras and one digital voice recorder. Video-editing software installed on all of the computers.A Learning Management System (LMS) used for the following tasks: The students use the LMS to submit their work access resources uploaded by the teachers communicate with their teachers and access discussion forums. The teachers use the LMS to upload resources for the students assign homework collect assignments and grade their students' work. The school administration uses the LMS to create schedules and to track student performance data.Planned Changes -You plan to help the school make better use of its existing ICT resources. The school administration also asks you to identify opportunities to use the ICT resources during your history lessons.Teacher Problem Statement -The school reports that neither the teachers nor the students use the ICT resources. Also when the ICT resources are used they are often used for tasks that do not enhance learning.You inform the school administration that you are interested in using new technologies during your lessons. The administration asks you to find opportunities within your subject area to develop the use of ICT resources.Student Problem Statement -The students report that they often find historical sources in a foreign language which hinders them from completing their assignments.Objectives -Learning Objectives -Develop the students' understanding of past societies and of how these societies shaped the world during the twentieth century.Professional Development ObjectivesYou identify the following professional development objectives: Develop new approaches to using digital technologies for the teaching of history. Develop new approaches to using source materials for the teaching of history.Organizational Goals -The school plans to increase the use of technology during teaching.Planned Activity -You plan to run a learning activity that will include the following tasks: The students split into small groups and each group identify a theme or a historical event. The students select and edit digital images that illustrate the theme or the event. The students create a poster to demonstrate their learning. The students display their posters to their peers. Question You want to identify which tasks in the planned learning activity incorporate the use of the computer lab.Which task should you identify?This item is part of a case study. To view the case study information click on the Case Study button below. [] A. The students must hang the posters in the entrance hall of the school. B. The students must assemble the images on a wall poster. C. The students must select and edit digital images that illustrate the theme or the event. D. The students must split into small groups and each group must identify a theme or a historical event. ,C
Microsoft 70 243,1,You recently migrated from System Center Configuration Manager 2007 to System Center 2012 Configuration Manager.Your network contains a client computer that runs the 64-bit version of Windows 7 and the 32-bit version of Windows 7.Some client computers have the Microsoft Application Virtualization (App-V) client installed.You have an Application named App1.You have a 64-bit version of App1 a 32-bit version of App1 and a virtual version of App1.You need to deploy the Application to all of the client computers.The solution must minimize the amount of administrative effort.What should you do? A. Create a new Application that has three different deployment types and create a target collection for each of the deployment types. B. Create a new Application that has three different deployment types and configure globalconditions for each of the deployment types. C. Create a new package for each version of App1. D. Create a new Application for each version of App1. ,B
Microsoft 70 243,2,Your network contains a System Center 2012 R2 Configuration Manager Service Pack 1 (SP1) environment.You have an application named App by using the Application Catalog.You need to ensure that users in the finance department can install App1 by using the Application Catalog.What should you do? A. Create a required user deployment and target the deployment to all of the financedepartment users. B. Create a required user deployment and target the deployment to all of the client computers in the finance department. C. Create an available user deployment and target the deployment to all of the finance department users. D. Create anavailable user deployment and target the deployment to all of the client computers in the finance department. ,C
Microsoft 70 243,3,Your network contains a System Center 2012 Configuration Manager environment.Two weeks ago you deployed a Windows Installer package named App1.You need to remediate a registry value that applies only to the client computers that have App1 installed.The solution must minimize network traffic.What should you do? A. Modify the App1 Windows Installer package to contain the registry setting and then create a new application for App1. B. Modify the App1 Windows Installer package to contain the registry setting and then configure the existing application for App1 to use the new Windows Installer package. C. Create an application-based configuration item configure a rulefor an existential type and then import the registry setting from a client computer that has App1 installed. D. Create an application-based configuration item configure the detection method to use the Windows Installer product code of App1 and then import the registry setting from a client computer that has App1 installed. ,D
Microsoft 70 243,4,Your network contains a System Center 2012 Configuration Manager environment.You need to create a collection that contains all of the virtual machines.Which query should you use? A. select * from SMS_R_SystemwhereSMS_R_System.ResourceID not in(select ResourceID from SMS_R_SystemwhereSMS_R_System.IsVirtualMachine != 1) B. select * from SMS_R_Systemwhere SMS_R_System.IsVirtualMachine != 1 C. select * from SMS_R_Systemwhere SMS_R_System.IsVirtualMachine = 1 D. select* from SMS_R_Systemwhere SMS_R_System.ResourceID not in(select ResourceID from SMS_R_Systemwhere SMS_R_System.IsVirtualMachine = 1) ,C
Microsoft 70 331,2,You are managing a SharePoint farm in an Active Directory Domain Services (AD DS) domain.You need to configure a service account to use domain credentials.What should you do first? A. Configure the service account to use a domain user account. B. Register the domain credentials in the Farm Administrators group. C. Configure the service account to use a local user account. D. Register the domain credentials as a SharePoint managed account. ,D
Microsoft 70 332,1,You are configuring SharePoint 2013 to support business intelligence.You need to install PowerPivot for SharePoint.What should you do? A. Download and install PowerPivot for SharePoint from the PowerPivot SQL Server 2008 R2 SP1 Feature Pack webpage. B. Run the SQL Server 2008 setup package. C. Download and install PowerPivot for SharePoint from the PowerPivot SQL Server 2012 Feature Pack webpage. D. Download and install PowerPivot for SharePoint from the PowerPivot SQL Server 2012 SP1 Feature Pack webpage. ,D
Microsoft 70 332,2,You are configuring a SharePoint farm.You have the following requirements: Implement an enterprise resource pool. Enable tasks to be assigned to users. Implement a resource breakdown structure.You need to implement a solution that meets the requirements.What should you do? A. Create a SharePoint team site. B. Provision a Microsoft Project web app. C. Create a SharePoint task list. D. Import a Microsoft Excel spreadsheet as a custom list. ,B
Microsoft 70 332,3,You are implementing a claims-based authentication solution for a SharePoint farm in an Active Directory Domain Services domain. You install and configureActive Directory Federation Services (AD FS).You need to ensure that all web applications in the farm support SAML-based claims authentication.What should you do? (Each correct answer presents part of the solution. Choose all that apply.) A. Configure AD FS with the web application as a relying party. B. Configure web applications to use forms-based authentication and AD FS as the trusted identity provider. C. Configure web applications to use claims-based authentication and AD FS as the trusted identity provider D. Configure web applications to use classic mode authentication and AD FS as the trusted identity provider. E. Configure SharePoint to trust AD FS as an identity provider. ,AC
Microsoft 70 332,4,You are moving a customized SharePoint site collection to a new farm. You attach and mount the source content database in the destination farm.You need to ensure that all customizations from the source farm are available in the destination farm.What should you do? A. Install all custom applications in the destination farm. B. Copy all custom master pages from the source site collection to the Style Library in the destination site collection. C. Copy all SharePoint groups and users from the source farm to the destination farm. D. Copy all custom master pages from the source site collection to the master page gallery in the destination site collection. ,A
Microsoft 70 333,1,You perform a network readiness assessment for a Skype for Business deployment.The organization's network includes a head office and 400 branch offices. All branch offices are connected to the head office with a Multiprotocol Label Switching(MPLS) link.You have completed the traffic simulation. The Usage Modeling Data for the Beijing site is shown in the following table:A summary of the simulation results is shown in the table below:Detailed simulation results are shown in the following exhibits: One Way Network Delay (Click the One Way Network Delay tab.)Average Jitter (Click the Average Jitter tab.) Maximum Jitter (Click the Maximum Jitter tab.)Average Packet Loss (Click the Average Packet Loss tab.) Maximum Consecutive Loss (Click the Maximum Consecutive Loss tab.)You need to provide recommendations based on the simulation results.What should you recommend? A. Increase WAN link bandwidth. B. Monitor Quality of Experience (QoE). C. Implement Call Admission Control (CAC) on Skype for Business for the affected sites. D. Restrict video capability or reduce quality codec usage for certain user groups. ,A
Microsoft 70 334,2,Case Study -This is a case study. Case studies are not timed separately. You can use as much exam time as you would like to complete each case. However there may be additional case studies and sections on this exam. You must manage your time to ensure that you are able to complete all questions included on this exam in the time provided.To answer the questions included in a case study you will need to reference information that is provided in the case study. Case studies might contain exhibits and other resources that provide more information about the scenario that is described in the case study. Each question is independent of the other question on this case study.At the end of this case study a review screen will appear. This screen allows you to review your answers and to make changes before you move to the next sections of the exam. After you begin a new section you cannot return to this section.To start the case study -To display the first question on this case study click the Next button. Use the buttons in the left pane to explore the content of the case study before you answer the questions. Clicking these buttons displays information such as business requirements existing environment and problem statements. If the case study has anAll Information tab note that the information displayed is identical to the information displayed on the subsequent tabs. When you are ready to answer a question click the Question button to return to the question.Overview -General Overview -Litware Inc. is an international manufacturing company that has 4 000 employees. The company has a sales department a marketing department a research department and a human resources department.Litware has a partner company named Fabrikam Inc. Fabrikam has an office in Paris. Fabrikam uses a XMPP-based instant messaging (IM) solution.Physical Locations -Litware has seven offices located throughout North America and Europe.Litware has two data centers. The data centers are located in New York and London. All communications for the North American offices are routed through theNew York data center. All communications for the European offices are routed through the London data center.The number of users in each office is shown in the following table.Active Directory Environment -Litware has an Active Directory Domain Services (AD DS) forest named litwareinc.com. The forest contains a single domain. All domain controllers run WindowsServer 2008 R2.Each office contains five domain controllers. Each office is configured as an Active Directory site.Lync Server Environment -Litware has a Lync Server 2013 infrastructure that contains two servers in the New York office. The servers are configured as shown in the following table.The SIP domain is litwareinc.com.Litware has a Microsoft Exchange Server 2013 organization.Problem Statements -Users in the London office report poor video quality during conferences.Requirements -Business Goals -Litware wants to minimize the costs associated with purchasing hardware and software.Planned Changes -Litware plans to migrate the Lync Server 2013 infrastructure to Skype for Business Server 2015. The migration will have a coexistence period of six months.Litware plans to implement the following components as part of the planned migration: Persistent Chat Unified contact store Enterprise Voice for all users A central site in eachdata center A branch site in each branch office A Front End pool in each central site Skype for Business Phone Edition devices Pool pairingLitware plans to create a federation relationship with Fabrikam.Technical Requirements - Litware identifies the following technical requirements for the planned migration: Users must be able to use all Skype for Business Server features if a single server fails. Users must be able to connect to the Skype for Business Server infrastructure if a single central site fails. Members of a group named Temp_Contractors must be prevented from using Skype for Business when they connect remotely. Only users in the human resources department must be able to access and discover a persistent chat room named HRConfidential.Security Requirements -Litware plans to deploy remote access. Some users work remotely from their customers offices which have firewall restrictions. All of the remote users must be able to connect to the Skype for Business Server 2015 infrastructure by using TCP port 443.You are evaluating a disaster recovery solution for the Front End pools.You need to recommend the solution for restoring access to the Central Management store if a Front End pool fails.Which Skype for Business Server 2015 cmdlet should you run? A. Invoke-CsPoolFailover B. Invoke-CsManagementServerFailover C. Import-CsConfiguration D. Move-CsManagementServer ,B
Microsoft 70 339,1,You manage a SharePoint 2016 farm.You need to import user profiles and photos from Active Directory to the SharePoint 2016 farm.Which tool or service should you use? [] A. User Profile service application B. Active Directory Import C. Microsoft Identity Manager D. Microsoft Forefront Identity Manager ,A
Microsoft 70 339,4,You are a SharePoint Administrator for Contoso Ltd. You manage a large SharePoint Server farm. You configure a single SharePoint Search application for the farm. The Search Service application has five crawl databases. All crawl databases have content.Contoso would like to crawl content from a partner company named WingTip Toys. This crawled content must be stored in a dedicated crawl database.You need to configure the environment.What should you do? A. Create a dedicated Microsoft SQL Server instance for the WingTip Toys crawl database. B. Add a crawl database to the existing Search Service application. C. Provision a new Search Service application. Configure the Search Service application to crawl WingTip Toys content. D. Provision a new Search Server for the existing Search Service application. Add dedicated crawl components for WingTip Toys to the new Search Server. ,B
Microsoft 70 341,1,You deploy a server that has the Exchange Server 2013 Mailbox server role and Client Access server role installed.You need to configure anti-spam to meet the following requirements: Email messages sent from the Internet to a distribution list named Executives must be rejected. Email messages that contain the words casino and jackpot must be rejected unless they were sent to [email&#160;protected]Which three cmdlets should you run? (Each correct answer presents part of the solution. Choose three.) A. Add ContentFilterPhrase B. Set-ContentFilterConfig C. Set-TransportConfig D. Set-SenderReputationConfig E. Set-RecipientFilterConfig ,AB
Microsoft 70 341,2,Your company named Contoso Ltd. has an Exchange Server 2013 organization named contoso.com.The network contains an Active Directory domain. The domain contains an organizational unit (OU) named SalesOU. SalesOU contains two users named User1 and User2.Contoso purchases a domain name adatum.com.You need to change the primary SMTP address of all the users in SalesOU to use the SMTP suffix of adatum.com. The solution must not remove the contoso.com email address.Which two actions should you perform? (Each correct answer presents part of the solution. Choose two.) A. Create a new email address policy and apply the policy to the users in SalesOU. B. Change the default email address policy to include adatum.com. C. Create a new remote domain for adatum.com. D. Create a new accepted domain for adatum.com and set the domain type to Authoritative Domain. E. Create a new accepted domain for adatum.com and set the domain type to External RelayDomain. ,A
Microsoft 70 342,2,You plan to deploy 20 Client Access servers that will have Exchange Server 2013 installed.You need to prepare the certificate required for the planned deployment. The solution must ensure that the same certificate can be used on all of the Client Access servers.What should you do first? A. On one of the Client Access servers run the New-ExchangeCertificate cmdlet and specify the PrivateKeyExportable parameter. B. On all of the Client Access servers run the Get-ExchangeCertificate cmdlet. C. On one of the Client Access servers run the New-ExchangeCertificate cmdlet and specify the BinaryEncoding parameter. D. On one of the Client Access servers start the Certificates console and run the Certificate Import Wizard. ,A
Microsoft 70 342,3,Contoso Ltd. and Fabrikam Inc. are partner companies.Each company has an Exchange Server 2013 organization in a data center that is connected to the Internet. All of the Exchange servers in both of the organizations have the Client Access server role and the Mailbox role installed.The data centers connect to each other by using a redundant high-speed WAN link.The following mail exchanger (MX) records are configured:* Contoso.com MX 10 mail.contoso.com* Fabrikam.com MX 10 mail.fabrikam.comYou need to recommend a solution for inbound mail flow.The solution must meet the following requirements:* Users in both companies must receive email from the Internet if either of the Internet links fails.* Mail from the Internet to contoso.com must be received by mail.contoso.com if the Internet link at the Contoso data center is available.* Mail from the Internet to fabrikam.com must be received by mail.fabrikam.com if the Internet link at the Fabrikam data center is available.Which two actions should you recommend? (Each correct answer presents part of the solution.Choose two.) A. Create the following DNS records: * Contoso.com MX 20 mail.fabrikam.com * Fabrikam.com MX 20 mail.contoso.com B. Create the following DNS records: * Contoso.com MX 10 mail.fabrikam.com * Fabrikam.com MX 10 mail.contoso.com C. For each organization configure an internal relay domain and a Send connector. D. For each organization configure an external relay domain and a Receive connector. E. Create the following DNS records: * Contoso.com MX 5 mail.fabrikam.com * Fabrikam.com MX 5 mail.contoso.com ,A
Microsoft 70 345,1,You have three Hyper-V hosts that each have 20 processor cores and 64 GB of RAM. Nine virtual machines are deployed to the hosts as shown in the following table.Host1 is located in New York Host2 is located in Los Angeles and Host3 is located in Denver. None of the virtual machines use dynamic memory.You plan to deploy a two-node Exchange Server 2016 database availability group (DAG) by using the virtual machines. Each node will have 12 processor cores and 24 GB of memory.You are evaluating whether you can use the existing servers for the deployment or whether you must purchase additional servers.You need to recommend where to place the Exchange servers. The solution must minimize costs.What is the best recommendation to achieve the goal? More than one answer choice may achieve the goal. Select the BEST answer. [] A. One Exchange server on Host1 and one Exchange server on a new Hyper-V host. B. One Exchange server on Host1 and one Exchange server on Host3. C. Both Exchange servers on Host1. D. One Exchange server on Host1 and one Exchange server on Host2. E. One Exchange server on Host2 and one Exchange server on Host3. ,A
Microsoft 70 345,2,You have an Exchange Server 2016 organization. The organization contains five Mailbox servers. The servers are members of a database availability group(DAG). All of the databases in the DAG are replicated to all of the members.You plan to perform scheduled maintenance on a Mailbox server named MBX3 that will place the server offline for up to an hour.You need to ensure that any active databases on MBX3 are activated on other DAG members before performing the maintenance.Which cmdlet should you use? [] A. Set-MailboxDatabaseCopy B. Stop-DatabaseAvailabilityGroup C. Resume-MailboxDatabaseCopy D. Set-MailboxServer ,D
Microsoft 70 345,4,Your company has a data center. The data center contains a server that has Exchange Server 2016 and the Mailbox server role installed. Outlook Anywhere clients connect to the Mailbox server by using the name outlook.contoso.com.The company plans to open a second data center and to provision a database availability group (DAG) that spans both data centers.You need to ensure that Outlook Anywhere clients can connect if one of the data centers becomes unavailable.What should you add to DNS? [] A. one A record B. two TXT records C. two SRV records D. one MX record ,A
Microsoft 70 346,1,You administer the Office 365 environment for a company that has offices around the world. All of the offices use the same Office 365tenant.You need to ensure that all users can access the services that are available in their regions.Which setting or service should you update? [] A. User location settings B. User licenses C. Service usage address D. Rights management ,A
Microsoft 70 346,2,Your company purchases an Office 365 plan. The company has an Active Directory Domain Services domain.User1 must to manage Office 365 delegation for the company.You need to ensure that User1 can assign administrative roles to other users.What should you do? [] A. Create an Office 365 tenant and assign User1 the password administrator role. B. Use a password administrator account to assign the role to User1. C. Use a user management administrator account to assign the role to User1. D. Create an Office 365 tenant and assign User1 the global administrator role. ,D
Microsoft 70 346,4,Your company has 100 user mailboxes. The company purchases a subscription to Office 365 for professionals and small businesses. You need to enable theLitigation Hold feature for each mailbox.What should you do first? [] A. Purchase a subscription to Office 365 for midsize business and enterprises. B. Enable audit logging for all of the mailboxes. C. Modify the default retention policy. D. Create a service request. ,A
Microsoft 70 346,5,Contoso Ltd. plans to use Office 365 for email services and Skype for Business Online. Contoso has four unique domain names.You need to migrate domain names to Office 365.Which two domain names should you exclude from the migration? Each correct answer presents part of the solution. [] A. contoso.us B. contoso C. contoso.local D. contoso.co ,B
Microsoft 70 347,2,Your company uses Office 365 and has an Enterprise E3 license plan. Employees are issued laptop computers that are configured with a standard image. The image includes an installation of Office 365 ProPlus that must be activated by the employees.An employee recently received a new laptop computer to replace an older laptop. The older laptop will be reimaged. When the employee attempts to start Word for the first time she receives a message saying that she cannot activate it because she has already activated five devices.You need to help the employee activate Office on her new laptop computer.What should you do? A. Assign a second E3 license to the employee. B. Remove the employee's E3 license and then assign a new E3 license. C. Sign in to the Office 365 portal as the employee and deactivate the old laptop. D. Sign in to the Office 365 portal by using your Global Admin account and then deactivate the old laptop. ,C
Microsoft 70 347,3,You manage client computing devices for a company. Office 365 was recently deployed for all employees in the sales department. Company policy requires the installation of Office 365 ProPlus on all new client computing devices for sales department employees.The company recently purchased Surface Pro 2 devices for all sales department employees. You are testing a new Office deployment for a specific user on aSurface Pro 2. You are unable to activate Office on the Surface Pro 2. An error message states that the install limit has been reached.You need to activate Office 365 ProPlus on the Surface Pro 2 for the user.What should you do? A. Instruct the user to sign in to the Office 365 portal as the user and deactivate unused Office 365 ProPlus licenses. B. Sign in to the Office 365 admin center as an Office 365 administrator. Remove and then re-add the user's Office 365 ProPlus license. C. Install a licensed copy of Office Professional Plus 2013 that is covered under a volume licensing agreement. D. Sign in to the Office 365 admin center as an Office 365 administrator and deactivate unused Office 365 ProPlus licenses. ,A
Microsoft 70 347,4,Your company hires a new human resources consultant. Corporate policy specifies the following requirements for consultants: Consultants must supply their own laptops. The company must supply an Office 365 cloud account. Consultants may have access only to Microsoft Exchange Online Microsoft SharePoint Online and Office 365 ProPlus.In the Office 365 admin center you create an account for the consultant and assign an E3 license to the account. You send instructions to the consultant for installing Office365 ProPlus on her laptop.The consultant signs in to the Office 365 portal and changes her password when prompted to do so. She successfully accesses her email by using Outlook WebApp (OWA). She attempts to install Office 365 ProPlus but is unable to do so.The Software page of the Office 365 portal displays the options shown in the following image.You need to ensure that the consultant can install Office 365 ProPlus.What should you do? A. License the consultant's account for Office 365 ProPlus. B. License the consultant's account for Office Web Apps. C. Issue a corporate laptop to the consultant and have her restart the Office 365 ProPlus installation process on that laptop. D. Assign an E1 license to the consultant's account. ,A
Microsoft 70 347,5,You are the Office 365 administrator for your company. All users have been assigned E3 licenses and use Office Web Apps to create and edit documents.A user attempts to access documents stored on a USB flash drive. When the user double-clicks a file that is stored on the USB flash drive an error message states that Windows can't open the file and needs to know what program to use to open it.You need to ensure that the user can start Office applications and edit Office documents by double-clicking files.What should you do on the user's computer? A. Use Office on Demand. B. Install Office 365 ProPlus from the Office 365 portal. C. Copy the files from the USB flash drive to the local hard drive. D. Install and configure Microsoft Word Viewer. ,B
Microsoft 70 348,1,You are a project manager in an organization that uses Microsoft PPM. You create a proposal for a new project by entering values for the Name Description Proposed Cost Proposed Benefits and Sponsor Name properties.The PMO must be able to approve all project proposals that have a proposed cost above a certain threshold value.You need to use a project approval workflow.Which three objects should use? Each correct answer presents part of the solution. A. Project Departments B. Enterprise Project types C. Project Detail Pages D. Project schedule templates E. Phases and stages ,BC
Microsoft 70 348,2,You use Microsoft PPM to manage an e-commerce portal development program.The program is separated into individual projects that represent each area of development. This allows each group to manage its own tasks while still having progress visibility at the program level.You need to be able to see all programs and their associated individual projects from within Project Center.What should you do? A. Select the Enterprise Project Type Name field as the value for grouping. B. Select the Master Program field as the value for filtering. C. Select the Subprojects check box. D. Select the Project Details view. ,C
Microsoft 70 348,3,You are the Microsoft PPM administrator for a large company. The IT manager uses four business drivers for prioritization. The priority of all four drivers is set at25 percent.The IT manager adds an additional business driver that has a priority value set to 30 percent.You need to create a new prioritization that includes the additional business driver.What should you do? A. Create a new calculated prioritization. Select the drivers to prioritize. B. Create a new manual prioritization. Select the correct department and then select the drivers to prioritize. C. Create a new manual prioritization. Select the drivers to prioritize enter the value for each driver and then choose to normalize. D. Create a new manual prioritization. Select the drivers to prioritize and then rank the drivers sequentially. ,C
Microsoft 70 348,4,You are using Microsoft PPM to manage an e-commerce portal development program. The program is separated into individual projects that represent each area of development.You have the following requirements: All work and progress on individual projects must be reflected in the e-commerce portal development program.Each group must be able to manage their own tasks.You need to set up the e-commerce portal development program and its associated projects in Microsoft PPM.Where should you add resources? A. in the e-commerce portal development program project site B. in the individual project schedules C. in Build Team in the e-commerce portal development program schedule D. in the individual project sites ,C
Microsoft 70 398,4,A company implements offline files for all Windows 10 devices.A user reports that they are running low on free disk space.You need to determine the amount of disk space being used by offline files on the users device.What should you do? A. On the device run the following Windows PowerShell command:Get-Disk | Where-Object IsOffline- Eq $True | Set-Disk-IsOffline $False B. Instruct the user to launch Resource Manager. C. On the device run the following Windows PowerShell command:Get-Disk | Where-Object IsOffline- Eq $False | Set-Disk-IsOffline $True D. Instruct the user to launch Sync Center. ,D
Microsoft 70 410,1,You have a server named Server1 that runs Windows Server 2012 R2. Server1 has the Hyper-V server role installed.An iSCSI SAN is available on the network.Server1 hosts four virtual machines named VM1 VM2 VM3 and VM4.You create a LUN on the SAN to host the virtual hard drive files for the virtual machines.You need to create a 3-TB virtual hard disk for VM1 on the LUN. The solution must prevent VM1 from being paused if the LUN runs out of disk space.Which type of virtual hard disk should you create on the LUN? [] A. Dynamically expanding VHD. B. Fixed-size VHD. C. Fixed-size VHD. D. Dynamically expanding VHD. 2 ,B
Microsoft 70 410,2,"Your network contains an Active Directory domain named adatum.com. The domain contains a member server named Host1. Host1 runs Windows Server 2012R2 and has the Hyper-V server role installed.Host1 hosts two virtual machines named VM5 and VM6. Both virtual machines connect to a virtual switch named Virtual1.On VM5 you install a network monitoring application named Monitor1.You need to capture all of the inbound and outbound traffic to VM6 by using Monitor1.Which two commands should you run from Windows PowerShell? (Each correct answer presents part of the solution. Choose two.) [] A. Get-VM ""VM6 | Set-VMNetworkAdapter-IovWeight 1 B. Get-VM ""VM5 I Set-VMNetworkAdapter -IovWeight 0 C. Get-VM ""VM5 | Set-VMNetworkAdapter -PortMirroring Source D. Get-VM ""VM6 | Set-VMNetworkAdapter -AllowTeaming On E. Get-VM ""VM6 | Set-VMNetworkAdapter -PortMirroring Destination F. Get-VM ""VM5 | Set-VMNetworkAdapter -AllowTeaming On ",C
Microsoft 70 410,3,You have a Hyper-V host named Server1 that runs Windows Server 2012 R2. Server1 has the virtual switches listed in the following table.You create a virtual machine named VM1.VM1 has two network adapters. One network adapter connects to vSwitch1. The other network adapter connects to vSwitch2.You configure NIC teaming on VM1.You need to ensure that if a physical NIC fails on Server1 VM1 remains connected to the network.What should you do on Server1? [] A. Run the Set-VmNetworkAdaptercmdlet. B. Add a new network adapter to VM1. C. Create a new virtual switch on Server 1. D. Modify the properties of vSwitch1 and vSwitch2. ,A
Microsoft 70 410,4,Your network contains two Hyper-V hosts that run Windows Server 2012 R2. The Hyper-V hosts contain several virtual machines that run Windows Server 2012R2.You install the Network Load Balancing feature on the virtual machines.You need to configure the virtual machines to support Network Load Balancing (NLB).Which virtual machine settings should you configure? A. DHCP guard B. Port mirroring C. Router guard D. MAC address ,D
Microsoft 70 410,5,You have a server named Server1 that runs Windows Server 2012 R2. Server1 has the Hyper-V server role installed. Server1 is connected to two Fibre ChannelSANs and is configured as shown in the following table.You have a virtual machine named VM1.You need to configure VM1 to connect to SAN1.What should you do first? A. Add one HBA. B. Create a Virtual Fibre Channel SAN. C. Create a Hyper-V virtual switch. D. Configure network adapter teaming. ,B
Microsoft 70 410,6,Your network contains an Active Directory domain named contoso.com. The domain contains a server named Server1. Server1 runs Windows Server 2012 R2 and has the Hyper-V server role installed.On Server1 you create and start a virtual machine named VM1. VM1 is configured as shown in the following table.You need to recommend a solution to minimize the amount of disk space used for the checkpoint of VM1.What should you do before you create the checkpoint? A. Run the Resize-VHD cmdlet. B. Convert Disk1.vhd to a dynamically expanding disk. C. Shut down VM1. D. Run the Convert-VHD cmdlet. ,C
Microsoft 70 410,8,You have a print server named Server1 that runs Windows Server 2012 R2.You discover that when there are many pending print jobs the system drive occasionally runs out of free space.You add a new hard disk to Server1.You create a new NTFS volume.You need to prevent the print jobs from consuming disk space on the system volume.What should you modify? A. The properties on the new volume B. The properties of the Print Spooler service C. The Print Server Properties D. The properties of each shared printer ,C
Microsoft 70 411,3,Your network contains an Active Directory domain named contoso.com. The domain contains a server named Server1 that runs Windows Server 2012 R2.Server1 has the following role services installed: DirectAccess and VPN (RRAS)Network Policy Server -Remote users have client computers that run either Windows XP Windows 7 or Windows 8.You need to ensure that only the client computers that run Windows 7 or Windows 8 can establish VPN connections to Server1.What should you configure on Server1? A. A condition of a Network Policy Server (NPS) network policy B. A constraint of a Network Policy Server (NPS) network policy C. a condition of a Network Policy Server (NPS) connection request policy D. A vendor-specific RADIUS attribute of a Network Policy Server (NPS) connection request policy ,A
Microsoft 70 411,5,You are a network administrator of an Active Directory domain named contoso.com.You have a server named Server1 that runs Windows Server 2012 R2. Server1 has the DHCP Server server role and the Network Policy Server role service installed.You enable Network Access Protection (NAP) on all of the DHCP scopes on Server1. You need to create a DHCP policy that will apply to all of the NAP non- compliant DHCP clients.Which criteria should you specify when you create the DHCP policy? A. The client identifier B. The user class C. The vendor class D. The relay agent information ,B
Microsoft 70 411,7,Your network contains an Active Directory domain named contoso.com. The domain contains a server named Server1 that runs Windows Server 2012 R2 and has the Network Policy Server role service installed.An administrator creates a RADIUS client template named Template1.You create a RADIUS client named Client1 by using Template 1.You need to modify the shared secret for Client1.What should you do first? A. Configure the Advanced settings of Template1. B. Set the Shared secret setting of Template1 to Manual. C. Clear Enable this RADIUS client for Client1. D. Clear Select an existing template for Client1. ,D
